iter	Passed	Remaining
0	141	141753
1	142	71229
2	143	47709
3	144	35936
4	145	28872
5	145	24178
6	147	20921
7	148	18378
8	148	16394
9	149	14820
10	150	13521
11	151	12439
12	151	11519
13	152	10745
14	153	10068
15	154	9506
16	155	8995
17	156	8542
18	157	8131
19	158	7746
20	158	7403
21	159	7087
22	160	6802
23	161	6551
24	161	6313
25	163	6123
26	164	5916
27	164	5724
28	166	5559
29	166	5390
30	167	5233
31	168	5101
32	170	4982
33	170	4852
34	171	4729
35	172	4614
36	172	4501
37	173	4395
38	174	4294
39	174	4198
40	175	4107
41	176	4019
42	176	3934
43	177	3854
44	178	3778
45	178	3706
46	179	3638
47	180	3571
48	180	3508
49	181	3448
50	182	3390
51	182	3333
52	183	3277
53	183	3223
54	184	3171
55	185	3123
56	185	3075
57	186	3030
58	187	2985
59	187	2942
60	188	2901
61	189	2861
62	189	2822
63	190	2784
64	191	2747
65	191	2712
66	192	2677
67	192	2640
68	193	2607
69	193	2575
70	194	2544
71	195	2514
72	195	2484
73	196	2455
74	196	2427
75	197	2400
76	198	2373
77	198	2347
78	199	2323
79	199	2298
80	200	2274
81	201	2252
82	201	2230
83	202	2208
84	202	2185
85	203	2163
86	203	2140
87	204	2120
88	205	2100
89	205	2081
90	206	2062
91	207	2043
92	207	2025
93	208	2008
94	208	1990
95	209	1973
96	210	1957
97	210	1941
98	211	1925
99	212	1909
100	212	1894
101	213	1876
102	213	1862
103	214	1847
104	215	1832
105	215	1818
106	216	1804
107	216	1790
108	217	1777
109	217	1763
110	218	1750
111	219	1737
112	219	1724
113	220	1712
114	220	1700
115	221	1687
116	222	1675
117	222	1663
118	223	1651
119	223	1640
120	224	1629
121	224	1618
122	225	1606
123	226	1596
124	226	1586
125	227	1576
126	227	1566
127	228	1555
128	228	1545
129	229	1535
130	230	1526
131	230	1517
132	231	1507
133	231	1498
134	232	1489
135	233	1480
136	233	1471
137	234	1462
138	234	1453
139	235	1444
140	235	1436
141	236	1428
142	237	1420
143	237	1412
144	238	1405
145	238	1397
146	239	1389
147	240	1383
148	240	1375
149	241	1368
150	242	1361
151	242	1353
152	243	1346
153	243	1340
154	244	1333
155	245	1326
156	245	1319
157	246	1312
158	246	1305
159	247	1299
160	248	1292
161	248	1286
162	249	1280
163	249	1273
164	250	1267
165	251	1261
166	251	1255
167	252	1249
168	252	1243
169	253	1237
170	254	1231
171	254	1225
172	255	1220
173	255	1215
174	256	1209
175	257	1204
176	257	1198
177	258	1193
178	259	1188
179	259	1183
180	260	1176
181	260	1171
182	261	1166
183	261	1161
184	262	1155
185	263	1151
186	263	1146
187	264	1141
188	264	1136
189	265	1131
190	266	1126
191	266	1122
192	267	1117
193	267	1112
194	268	1108
195	269	1103
196	269	1099
197	270	1094
198	270	1090
199	271	1085
200	272	1081
201	272	1076
202	273	1072
203	273	1068
204	274	1063
205	274	1059
206	275	1055
207	276	1051
208	276	1046
209	277	1043
210	277	1039
211	278	1035
212	279	1031
213	279	1027
214	280	1023
215	280	1019
216	281	1015
217	282	1012
218	282	1008
219	283	1004
220	283	1000
221	284	997
222	285	993
223	285	990
224	286	986
225	286	982
226	287	979
227	288	976
228	288	972
229	289	969
230	290	965
231	290	962
232	291	958
233	291	955
234	292	952
235	293	948
236	293	945
237	294	942
238	294	939
239	295	935
240	296	932
241	296	929
242	297	925
243	297	922
244	298	919
245	299	916
246	299	913
247	300	910
248	300	907
249	301	904
250	302	901
251	302	898
252	303	895
253	303	892
254	304	889
255	305	886
256	305	883
257	306	881
258	306	878
259	307	875
260	308	872
261	308	869
262	309	867
263	310	864
264	310	861
265	311	859
266	311	856
267	312	853
268	313	850
269	313	848
270	314	845
271	314	842
272	315	839
273	316	837
274	316	835
275	317	832
276	318	830
277	318	827
278	319	825
279	320	823
280	320	820
281	321	818
282	321	815
283	322	813
284	323	810
285	323	808
286	324	805
287	324	803
288	325	800
289	326	798
290	326	795
291	327	793
292	327	791
293	328	788
294	329	786
295	329	784
296	330	781
297	331	779
298	331	777
299	332	775
300	332	773
301	333	770
302	334	768
303	334	766
304	335	764
305	335	761
306	336	759
307	337	757
308	337	755
309	338	753
310	338	750
311	339	748
312	340	746
313	340	744
314	341	742
315	341	740
316	342	738
317	343	736
318	343	734
319	344	732
320	345	730
321	345	728
322	348	730
323	348	728
324	349	726
325	350	723
326	350	721
327	351	719
328	351	717
329	352	715
330	353	713
331	353	711
332	354	709
333	354	707
334	355	705
335	356	703
336	356	701
337	357	699
338	357	697
339	358	695
340	359	693
341	359	691
342	360	689
343	360	687
344	361	685
345	361	684
346	362	682
347	363	680
348	363	678
349	364	676
350	365	674
351	365	672
352	366	670
353	366	669
354	367	667
355	367	665
356	368	663
357	368	661
358	369	659
359	370	658
360	370	656
361	371	654
362	371	652
363	372	650
364	372	648
365	373	647
366	374	645
367	374	643
368	375	642
369	376	640
370	376	638
371	377	637
372	378	635
373	378	633
374	379	632
375	380	630
376	380	629
377	381	627
378	381	625
379	382	623
380	382	621
381	383	620
382	383	618
383	384	616
384	384	614
385	385	613
386	386	611
387	386	609
388	387	607
389	387	606
390	388	604
391	388	602
392	389	601
393	389	599
394	390	597
395	391	596
396	391	594
397	392	593
398	392	591
399	393	590
400	393	588
401	394	586
402	395	585
403	395	583
404	396	582
405	396	580
406	397	578
407	397	577
408	398	575
409	398	573
410	399	572
411	399	570
412	400	569
413	400	567
414	401	566
415	402	564
416	402	562
417	403	561
418	403	559
419	404	558
420	404	556
421	405	555
422	405	553
423	406	552
424	406	550
425	407	549
426	408	547
427	408	546
428	409	544
429	409	543
430	410	541
431	411	540
432	411	539
433	412	537
434	413	536
435	413	535
436	414	533
437	414	532
438	415	530
439	415	529
440	416	527
441	416	526
442	417	524
443	417	523
444	418	521
445	418	520
446	419	519
447	420	517
448	420	516
449	421	514
450	421	513
451	422	512
452	422	510
453	423	509
454	424	507
455	424	506
456	425	505
457	425	503
458	426	502
459	426	501
460	427	499
461	427	498
462	428	497
463	429	495
464	429	494
465	430	493
466	430	491
467	431	490
468	432	489
469	432	487
470	433	486
471	433	485
472	434	483
473	434	482
474	435	481
475	435	479
476	436	478
477	437	477
478	437	476
479	438	474
480	438	473
481	439	472
482	439	470
483	440	469
484	440	468
485	441	466
486	441	465
487	442	464
488	443	462
489	443	461
490	444	460
491	444	459
492	445	457
493	445	456
494	446	455
495	446	453
496	447	452
497	447	451
498	448	450
499	448	448
500	449	447
501	449	446
502	450	445
503	450	443
504	451	442
505	452	441
506	452	440
507	453	438
508	453	437
509	454	436
510	454	435
511	455	433
512	455	432
513	456	431
514	456	430
515	457	429
516	458	427
517	458	426
518	459	425
519	459	424
520	460	423
521	460	421
522	461	420
523	461	419
524	462	418
525	462	417
526	463	415
527	463	414
528	464	413
529	464	412
530	465	411
531	465	409
532	466	408
533	467	407
534	467	406
535	468	405
536	468	404
537	469	402
538	469	401
539	470	400
540	470	399
541	471	398
542	471	397
543	472	395
544	472	394
545	473	393
546	473	392
547	474	391
548	475	390
549	475	389
550	476	387
551	476	386
552	477	385
553	477	384
554	478	383
555	478	382
556	479	381
557	479	380
558	480	378
559	480	377
560	481	376
561	481	375
562	482	374
563	482	373
564	483	372
565	484	371
566	484	370
567	485	368
568	485	367
569	486	366
570	486	365
571	487	364
572	487	363
573	488	362
574	488	361
575	489	360
576	489	359
577	490	358
578	491	357
579	491	355
580	492	354
581	492	353
582	493	352
583	493	351
584	494	350
585	494	349
586	495	348
587	496	347
588	496	346
589	497	345
590	497	344
591	498	343
592	498	342
593	499	341
594	499	340
595	500	339
596	500	338
597	501	337
598	501	336
599	502	335
600	503	333
601	503	332
602	504	331
603	504	330
604	505	329
605	505	328
606	506	327
607	506	326
608	507	325
609	507	324
610	508	323
611	508	322
612	509	321
613	509	320
614	510	319
615	511	318
616	511	317
617	512	316
618	513	315
619	513	314
620	514	313
621	515	313
622	515	312
623	516	311
624	517	310
625	517	309
626	518	308
627	518	307
628	519	306
629	520	305
630	520	304
631	521	303
632	521	302
633	522	301
634	522	300
635	523	299
636	524	298
637	524	297
638	525	296
639	525	295
640	526	294
641	526	293
642	527	292
643	528	291
644	528	290
645	529	290
646	529	289
647	530	288
648	531	287
649	531	286
650	532	285
651	532	284
652	533	283
653	534	282
654	534	281
655	535	280
656	536	279
657	536	278
658	537	278
659	538	277
660	538	276
661	539	275
662	539	274
663	540	273
664	540	272
665	541	271
666	541	270
667	542	269
668	543	268
669	543	267
670	544	266
671	544	265
672	545	265
673	546	264
674	546	263
675	547	262
676	547	261
677	548	260
678	548	259
679	549	258
680	549	257
681	550	256
682	550	255
683	551	254
684	551	253
685	552	252
686	553	251
687	553	251
688	554	250
689	554	249
690	555	248
691	555	247
692	556	246
693	556	245
694	557	244
695	557	243
696	558	242
697	559	241
698	559	240
699	560	240
700	560	239
701	561	238
702	561	237
703	562	236
704	562	235
705	563	234
706	563	233
707	564	232
708	564	231
709	565	230
710	566	230
711	566	229
712	567	228
713	567	227
714	568	226
715	568	225
716	569	224
717	569	223
718	570	222
719	570	222
720	571	221
721	571	220
722	572	219
723	573	218
724	573	217
725	574	216
726	574	215
727	575	214
728	575	214
729	576	213
730	577	212
731	577	211
732	578	210
733	578	209
734	579	208
735	579	207
736	580	207
737	580	206
738	581	205
739	581	204
740	582	203
741	582	202
742	583	201
743	584	200
744	584	200
745	585	199
746	585	198
747	586	197
748	586	196
749	587	195
750	587	194
751	588	194
752	588	193
753	589	192
754	590	191
755	590	190
756	591	189
757	591	188
758	592	188
759	592	187
760	593	186
761	593	185
762	594	184
763	594	183
764	595	182
765	596	182
766	596	181
767	597	180
768	597	179
769	598	178
770	598	177
771	599	176
772	599	176
773	600	175
774	600	174
775	601	173
776	601	172
777	602	171
778	603	171
779	603	170
780	604	169
781	604	168
782	605	167
783	605	166
784	606	166
785	606	165
786	607	164
787	607	163
788	608	162
789	609	161
790	609	161
791	610	160
792	610	159
793	611	158
794	611	157
795	612	156
796	612	156
797	613	155
798	613	154
799	614	153
800	614	152
801	615	151
802	615	151
803	616	150
804	617	149
805	617	148
806	618	147
807	618	147
808	619	146
809	619	145
810	620	144
811	620	143
812	621	142
813	622	142
814	622	141
815	623	140
816	623	139
817	624	138
818	624	138
819	625	137
820	625	136
821	626	135
822	626	134
823	627	133
824	627	133
825	628	132
826	628	131
827	629	130
828	629	129
829	630	129
830	630	128
831	631	127
832	631	126
833	632	125
834	633	125
835	633	124
836	634	123
837	634	122
838	635	121
839	636	121
840	636	120
841	637	119
842	637	118
843	638	117
844	638	117
845	639	116
846	639	115
847	640	114
848	640	113
849	641	113
850	641	112
851	642	111
852	642	110
853	643	109
854	643	109
855	644	108
856	644	107
857	645	106
858	645	106
859	646	105
860	647	104
861	647	103
862	648	102
863	648	102
864	649	101
865	649	100
866	650	99
867	650	98
868	651	98
869	652	97
870	652	96
871	653	95
872	653	95
873	654	94
874	654	93
875	655	92
876	655	91
877	656	91
878	656	90
879	657	89
880	657	88
881	658	88
882	658	87
883	659	86
884	659	85
885	660	84
886	661	84
887	661	83
888	662	82
889	662	81
890	663	81
891	663	80
892	664	79
893	664	78
894	665	78
895	665	77
896	666	76
897	666	75
898	667	74
899	667	74
900	668	73
901	668	72
902	669	71
903	670	71
904	670	70
905	671	69
906	671	68
907	672	68
908	672	67
909	673	66
910	673	65
911	674	65
912	674	64
913	675	63
914	675	62
915	676	62
916	676	61
917	677	60
918	678	59
919	678	59
920	679	58
921	679	57
922	680	56
923	680	55
924	681	55
925	681	54
926	682	53
927	682	52
928	683	52
929	683	51
930	684	50
931	684	49
932	685	49
933	685	48
934	686	47
935	686	46
936	687	46
937	687	45
938	688	44
939	688	43
940	689	43
941	689	42
942	690	41
943	691	40
944	691	40
945	692	39
946	692	38
947	693	38
948	693	37
949	694	36
950	694	35
951	695	35
952	695	34
953	696	33
954	696	32
955	697	32
956	698	31
957	698	30
958	699	29
959	699	29
960	700	28
961	700	27
962	701	26
963	701	26
964	702	25
965	702	24
966	703	24
967	703	23
968	704	22
969	704	21
970	705	21
971	705	20
972	706	19
973	707	18
974	707	18
975	708	17
976	708	16
977	709	15
978	709	15
979	710	14
980	710	13
981	711	13
982	712	12
983	712	11
984	713	10
985	713	10
986	714	9
987	714	8
988	715	7
989	715	7
990	716	6
991	716	5
992	717	5
993	717	4
994	718	3
995	718	2
996	719	2
997	719	1
998	720	0
999	720	0
